,fold_1,fold_2,fold_3,mean_gain
NAME_CONTRACT_TYPE,4164.717819213867,4206.032661437988,4255.567325592041,4208.772602081299
CODE_GENDER,11707.939197540283,9962.335578918457,10669.892553329468,10780.05577659607
FLAG_OWN_CAR,853.6672821044922,269.64899826049805,0.0,374.4387601216634
FLAG_OWN_REALTY,0.0,60.54570007324219,220.810302734375,93.78533426920573
CNT_CHILDREN,0.0,301.988712310791,748.0735931396484,350.0207684834798
AMT_INCOME_TOTAL,1364.3431968688965,3432.8442916870117,4996.582592010498,3264.5900268554688
AMT_CREDIT,7025.476005554199,8093.84220123291,10732.93221282959,8617.4168065389
AMT_ANNUITY,15291.678783416748,14958.418975830078,18058.768255233765,16102.955338160196
AMT_GOODS_PRICE,15632.781600952148,12645.464492797852,14220.748853683472,14166.331649144491
NAME_TYPE_SUITE,631.4058990478516,346.9293975830078,1872.9538955688477,950.4297307332357
NAME_INCOME_TYPE,1033.3828048706055,1280.4704055786133,1358.9655952453613,1224.2729352315266
NAME_EDUCATION_TYPE,11789.458446502686,13458.583248138428,13970.31745147705,13072.786382039389
NAME_FAMILY_STATUS,5579.931594848633,3624.8721046447754,6428.732006072998,5211.178568522136
NAME_HOUSING_TYPE,1397.3114852905273,889.4631004333496,1294.716812133789,1193.8304659525554
REGION_POPULATION_RELATIVE,3535.1961212158203,4920.589088439941,6958.938985824585,5138.241398493449
DAYS_BIRTH,8951.550453186035,14256.132400512695,14345.88487815857,12517.8559106191
DAYS_EMPLOYED,8774.208869934082,8585.74416732788,11561.741436004639,9640.564824422201
DAYS_REGISTRATION,5300.567287445068,5226.060718536377,10579.43828201294,7035.355429331462
DAYS_ID_PUBLISH,8495.662433624268,10483.850715637207,13310.478076934814,10763.330408732096
OWN_CAR_AGE,13985.623077392578,14229.620754241943,17809.020515441895,15341.421449025473
FLAG_MOBIL,0.0,0.0,0.0,0.0
FLAG_EMP_PHONE,0.0,0.0,0.0,0.0
FLAG_WORK_PHONE,2198.2344131469727,1986.2234001159668,2646.398880004883,2276.952231089274
FLAG_CONT_MOBILE,0.0,0.0,0.0,0.0
FLAG_PHONE,0.0,306.97419357299805,407.97229766845703,238.31549708048502
FLAG_EMAIL,0.0,121.47740173339844,0.0,40.49246724446615
OCCUPATION_TYPE,21077.225971221924,22590.67860031128,36118.456188201904,26595.45358657837
CNT_FAM_MEMBERS,0.0,598.6970977783203,1045.6840057373047,548.1270345052084
REGION_RATING_CLIENT,839.3779754638672,631.1826133728027,356.9786014556885,609.1797300974528
REGION_RATING_CLIENT_W_CITY,4900.219913482666,4312.729763031006,3380.541082382202,4197.830252965291
WEEKDAY_APPR_PROCESS_START,2043.0783996582031,3569.3510093688965,6287.493499755859,3966.64096959432
HOUR_APPR_PROCESS_START,939.1253051757812,1929.0136070251465,3836.6173000335693,2234.918737411499
REG_REGION_NOT_LIVE_REGION,0.0,0.0,79.66909790039062,26.556365966796875
REG_REGION_NOT_WORK_REGION,0.0,0.0,215.38469696044922,71.7948989868164
LIVE_REGION_NOT_WORK_REGION,0.0,0.0,225.89820098876953,75.29940032958984
REG_CITY_NOT_LIVE_CITY,1707.4460830688477,1509.0066947937012,1249.8839111328125,1488.778896331787
REG_CITY_NOT_WORK_CITY,0.0,85.6061019897461,125.16310119628906,70.25640106201172
LIVE_CITY_NOT_WORK_CITY,0.0,270.33230209350586,241.5707015991211,170.63433456420898
ORGANIZATION_TYPE,129515.98737716675,143117.7406730652,174820.68767547607,149151.47190856934
EXT_SOURCE_1,14427.444553375244,18204.579193115234,17680.328239440918,16770.783995310467
EXT_SOURCE_2,6459.369289398193,10873.4487991333,14686.733375549316,10673.18382136027
EXT_SOURCE_3,20371.180633544922,20074.340419769287,26764.02074432373,22403.180599212646
APARTMENTS_AVG,628.4735946655273,1146.6628952026367,2651.0704193115234,1475.4023030598958
BASEMENTAREA_AVG,1139.2341842651367,815.8987998962402,2991.416015625,1648.849666595459
YEARS_BEGINEXPLUATATION_AVG,1114.6916847229004,1318.373104095459,3258.8462982177734,1897.303695678711
YEARS_BUILD_AVG,1032.0712966918945,605.4402885437012,1420.8554916381836,1019.4556922912598
COMMONAREA_AVG,780.2159996032715,891.4224815368652,1989.7006072998047,1220.4463628133137
ELEVATORS_AVG,204.49099731445312,874.9707908630371,1032.261302947998,703.9076970418295
ENTRANCES_AVG,562.185905456543,826.1209945678711,1249.1969928741455,879.1679642995199
FLOORSMAX_AVG,821.8333892822266,1372.2825927734375,1322.673095703125,1172.2630259195964
FLOORSMIN_AVG,314.3851013183594,436.4380912780762,1089.5783882141113,613.4671936035156
LANDAREA_AVG,362.6910934448242,1859.5822105407715,2551.049585342407,1591.107629776001
LIVINGAPARTMENTS_AVG,1757.2407989501953,639.9306106567383,2041.1029014587402,1479.4247703552246
LIVINGAREA_AVG,1481.1763153076172,1839.6919898986816,2780.587188720703,2033.8184979756672
NONLIVINGAPARTMENTS_AVG,306.55770111083984,644.5035934448242,1326.5411949157715,759.2008298238119
NONLIVINGAREA_AVG,1189.8248977661133,1036.900691986084,1107.1657066345215,1111.297098795573
APARTMENTS_MODE,868.6299133300781,1708.3258018493652,3864.9839935302734,2147.3132362365723
BASEMENTAREA_MODE,1549.0461158752441,2047.2199172973633,3541.7681999206543,2379.3447443644204
